date,p0_filt,p1_filt,p2_filt,p0_smooth,p1_smooth,p2_smooth
2025-03-19,0.02403746531338988,0.9336719825231508,0.042290552163459415,0.004439834955907215,0.9748604944640961,0.020699670580001273
2025-03-20,0.007553650698023371,0.9810664723076844,0.011379876994292224,0.0014155565413462353,0.9919297794582768,0.006654664000258074
2025-03-21,0.006043735686107138,0.9646384967140296,0.02931776759986338,0.001254915260318822,0.9793273262838488,0.019417758455704315
2025-03-24,0.010401999133570447,0.9232517541063079,0.0663462467601216,0.001966317933404097,0.9653254063690486,0.0327082756975704
2025-03-25,0.0070722030804969615,0.9760645291146467,0.01686326780485634,0.0012778048812188158,0.9905808740518812,0.008141321067077283
2025-03-26,0.005023594004796918,0.9823777461171262,0.012598659878076948,0.000941468718647747,0.9925729264927575,0.006485604788508792
2025-03-27,0.004983533578147694,0.9760879888788622,0.018928477542990044,0.0011354531415947587,0.9882539582321181,0.010610588626392695
2025-03-28,0.01187243800450829,0.9534637268035242,0.03466383519196752,0.0024840178704188497,0.980820600242809,0.01669538188687425
2025-03-31,0.011057851737425165,0.9782502299431589,0.010691918319415916,0.002170817568111993,0.9919574126102979,0.0058717698216528445
2025-04-01,0.011860319421464531,0.9767799180753695,0.011359762503165984,0.0016758541337768033,0.9838383722143222,0.014485773652106597
2025-04-02,0.006434346915395905,0.9801646442397806,0.013401008844823687,8.052651620890712e-05,0.8918304181946821,0.1080890552890676
2025-04-03,3.096497303209271e-05,3.589877886103665e-05,0.9999331362481069,1.2645546349518638e-06,1.2535898953602388e-05,0.9999861995463137
2025-04-04,0.05593941358946065,0.48286232340917945,0.4611982630013599,0.00016869687600481177,0.10563427491348552,0.8941970282103826
2025-04-07,0.0006277800713427803,0.0003309397800408495,0.9990412801486164,9.79323630540357e-07,3.737488091309784e-05,0.9999616457955528
2025-04-08,0.0004974582351564605,0.00010038269248114154,0.9994021590723623,7.698862337767692e-07,1.133042698396954e-05,0.9999878996868524
2025-04-09,1.328564061613739e-07,5.600022494890639e-10,0.9999998665835916,2.0549354350196139e-10,6.317173496071333e-11,0.9999999997312443
2025-04-10,1.3777760247787835e-07,1.094047954514419e-09,0.9999998611283495,2.5662384851319163e-10,1.2343002201007946e-10,0.9999999996198312
2025-04-11,0.0004757246238916414,1.2266099217531137e-05,0.9995120092768909,3.090255145109993e-05,3.8214948912701315e-06,0.9999652759537535
2025-04-14,0.00855679309725584,0.043115094063881206,0.9483281128388631,0.0031483408854179116,0.08855261670273484,0.9082990424118076
2025-04-15,0.03190938097511,0.8614314313191435,0.1066591877057465,0.005890849515802987,0.9150301995832858,0.07907895090077198
2025-04-16,0.01359074399205303,0.9468707460715392,0.0395385099364078,0.0018206205745267543,0.9367028276313731,0.061476551794071084
2025-04-17,0.007315710627264036,0.9695884318214103,0.023095857551325726,9.248476949982056e-05,0.8255875033504212,0.17432001188020008
2025-04-21,0.000845873889193372,0.00021105672105914983,0.9989430693897474,3.376789133213683e-05,4.456612000219135e-05,0.9999216659885836
2025-04-22,0.042098630780795405,0.21205893238900858,0.745842436830196,0.002258362387580892,0.04373687237758487,0.9540047652350048
