date,jgb10,jpy3m,ust10,usd3m,usdjpy,hedge_cost,hedged_ust,pickup,d_pickup,tp10,d_tp10,be10,d_be10,vix,d_vix
2024-10-31,0.935,0.256,4.28,4.44,152.35,4.184,0.09600000000000009,-0.839,0.4699999999999993,16.13667764168367,27.469731385007847,233.0,14.999999999999972,23.16,6.43
2024-11-30,1.05,0.362,4.18,4.39,150.41,4.028,0.15200000000000014,-0.8979999999999999,-0.05899999999999994,8.12644841276437,-8.010229228919298,225.99999999999997,-7.000000000000028,13.51,-9.65
2024-12-31,1.09,0.386,4.58,4.23,157.37,3.8440000000000003,0.7359999999999998,-0.3540000000000003,0.5439999999999996,47.86006972285452,39.73362131009015,234.0,8.000000000000028,17.35,3.8400000000000016
2025-01-31,1.245,0.76727,4.58,4.2,154.91,3.4327300000000003,1.1472699999999998,-0.09773000000000032,0.25627,48.81837086553329,0.9583011426787706,242.0,8.0,16.43,-0.9200000000000017
2025-02-28,1.37,0.79182,4.24,4.2,150.64,3.40818,0.83182,-0.5381800000000001,-0.4404499999999998,25.90502597725836,-22.913344888274928,238.0,-4.0,19.63,3.1999999999999993
2025-03-31,1.485,0.82091,4.23,4.21,149.9,3.38909,0.8409100000000005,-0.6440899999999996,-0.1059099999999995,36.87406145089196,10.969035473633596,238.0,0.0,22.28,2.650000000000002
2025-04-30,1.31,0.78364,4.17,4.2,142.63,3.41636,0.7536399999999999,-0.5563600000000002,0.08772999999999942,59.17044723972778,22.29638578883582,223.0,-15.0,24.7,2.419999999999998
2025-05-31,1.5,0.77545,4.41,4.25,144.18,3.47455,0.9354500000000003,-0.5645499999999997,-0.008189999999999475,73.7829969391612,14.612549699433416,234.0,11.0,18.57,-6.129999999999999
2025-06-30,1.42,0.77273,4.24,4.24,144.17,3.46727,0.7727300000000001,-0.6472699999999998,-0.08272000000000013,62.22613146137288,-11.556865477788314,229.0,-5.0,16.73,-1.8399999999999999
2025-07-31,1.545,0.77273,4.37,4.24,150.6,3.46727,0.90273,-0.6422699999999999,0.004999999999999893,63.153518993333705,0.9273875319608251,239.0,10.0,16.72,-0.010000000000001563
2025-08-31,1.6,0.77273,4.23,4.05,146.9,3.2772699999999997,0.9527300000000007,-0.6472699999999993,-0.004999999999999449,77.37631341340938,14.222794420075672,241.0,2.0,15.36,-1.3599999999999994
2025-09-30,1.645,0.81818,4.16,3.86,147.97,3.04182,1.1181800000000002,-0.5268199999999998,0.1204499999999995,61.22208621621397,-16.15422719719541,236.0,-5.0,16.28,0.9200000000000017
2025-10-31,1.655,0.80909,4.11,3.73,154.05,2.92091,1.1890900000000002,-0.4659099999999998,0.06091000000000002,56.41778901187764,-4.804297204336329,229.99999999999997,-6.000000000000028,17.44,1.1600000000000001
2025-11-30,1.805,0.80636,4.02,3.73,156.17,2.92364,1.0963599999999998,-0.7086400000000002,-0.24273000000000033,58.38603825158452,1.9682492397068856,223.0,-6.999999999999972,16.35,-1.0899999999999999
2025-12-31,2.06,1.07273,4.18,3.57,156.8,2.49727,1.6827299999999998,-0.3772700000000002,0.33136999999999994,75.24320817205617,16.857169920471648,225.0,2.0,14.95,-1.4000000000000021
2026-01-31,2.24,1.11636,4.26,3.58,154.34,2.46364,1.79636,-0.44364000000000026,-0.06637000000000004,76.62795072623085,1.3847425541746787,236.0,11.0,17.44,2.490000000000002
2026-02-28,2.11,1.22909,3.97,3.59,156.05,2.3609099999999996,1.6090900000000006,-0.5009099999999993,-0.057269999999999044,59.71382885267489,-16.914121873555963,225.0,-11.0,19.86,2.419999999999998
2026-03-31,2.345,1.26882,4.3,3.61,159.08,2.3411799999999996,1.9588200000000002,-0.38617999999999997,0.11472999999999933,65.39226834941188,5.678439496736992,229.99999999999997,4.999999999999972,25.25,5.390000000000001
2026-04-30,2.515,1.24182,4.4,3.59,156.66,2.34818,2.05182,-0.4631799999999999,-0.07699999999999996,71.88690339958086,6.494635050168981,246.0,16.00000000000003,16.89,-8.36
2026-05-31,2.65,1.27409,4.45,3.6,159.23,2.3259100000000004,2.12409,-0.5259100000000001,-0.06273000000000017,66.48066493890825,-5.406238460672611,238.0,-8.0,15.32,-1.5700000000000003
2026-06-30,2.67,1.412,4.44,3.74,162.61,2.3280000000000003,2.112,-0.5579999999999998,-0.03208999999999973,51.07896670684893,-15.401698232059317,224.00000000000003,-13.999999999999972,16.45,1.129999999999999
2026-07-31,2.79,1.45845,4.75,3.69,159.16,2.23155,2.51845,-0.27154999999999996,0.28644999999999987,83.63484212290788,32.55587541605895,227.99999999999997,3.999999999999943,15.99,-0.4599999999999991
2026-08-31,2.94,1.45845,4.75,3.78,159.74,2.32155,2.42845,-0.5115499999999997,-0.23999999999999977,76.25129457707641,-7.383547545831476,231.0,3.0000000000000284,14.92,-1.0700000000000003
