issuer,fdate,form,ccy,is_notes,prelim,subj_date,trade_date,is_exchange,is_equity,ntr,tot,ncpn,file
Alphabet,2026-05-07,424B2,USD,True,False,,,False,False,4,8.5,4,Alphabet_2026-05-07_424B2_0001193125-26-212222.htm
Alphabet,2026-05-11,424B5,,False,True,2026-05-11,,False,False,0,0.0,0,Alphabet_2026-05-11_424B5_0001193125-26-215570.htm
Alphabet,2026-05-15,FWP,,False,False,,2026-05-15,False,False,0,0.0,7,Alphabet_2026-05-15_FWP_0001193125-26-225046.htm
Alphabet,2026-05-18,424B5,JPY,True,False,,,False,False,0,0.0,7,Alphabet_2026-05-18_424B5_0001193125-26-228923.htm
Alphabet,2026-06-01,FWP,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-01_FWP_0001193125-26-251733.htm
Alphabet,2026-06-02,424B5,,False,True,2026-06-01,,False,True,0,0.0,0,Alphabet_2026-06-02_424B5_0001193125-26-252362.htm
Alphabet,2026-06-02,424B5,,False,True,2026-06-01,,False,True,0,0.0,0,Alphabet_2026-06-02_424B5_0001193125-26-252374.htm
Alphabet,2026-06-02,424B5,,False,True,2026-06-01,,False,True,0,0.0,0,Alphabet_2026-06-02_424B5_0001193125-26-252392.htm
Alphabet,2026-06-02,424B5,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-02_424B5_0001193125-26-252439.htm
Alphabet,2026-06-03,FWP,,False,False,,2026-06-03,False,True,0,0.0,0,Alphabet_2026-06-03_FWP_0001193125-26-254474.htm
Alphabet,2026-06-03,FWP,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-03_FWP_0001193125-26-254490.htm
Alphabet,2026-06-04,424B5,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-04_424B5_0001193125-26-256375.htm
Alphabet,2026-06-04,424B5,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-04_424B5_0001193125-26-257690.htm
Alphabet,2026-06-04,424B5,,False,False,,,False,True,0,0.0,0,Alphabet_2026-06-04_424B5_0001193125-26-257702.htm
Alphabet,2026-08-06,424B5,,False,True,2026-08-06,,False,True,0,0.0,0,Alphabet_2026-08-06_424B5_0001193125-26-336798.htm
Alphabet,2026-08-06,424B5,,False,False,,,False,False,0,0.0,0,Alphabet_2026-08-06_424B5_0001193125-26-336853.htm
Alphabet,2026-08-07,424B2,USD,True,False,,,False,False,10,25.0,8,Alphabet_2026-08-07_424B2_0001193125-26-340264.htm
Alphabet,2026-08-07,FWP,,False,False,,2026-08-06,False,False,0,0.0,8,Alphabet_2026-08-07_FWP_0001193125-26-338750.htm
Amazon,2025-11-17,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2025-11-17_424B5_0001104659-25-112970.htm
Amazon,2025-11-17,FWP,,False,False,,2025-11-17,False,False,0,0.0,6,Amazon_2025-11-17_FWP_0001104659-25-113283.htm
Amazon,2025-11-19,424B5,USD,True,False,,,False,False,6,15.0,6,Amazon_2025-11-19_424B5_0001104659-25-114098.htm
Amazon,2026-03-10,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2026-03-10_424B5_0001104659-26-025560.htm
Amazon,2026-03-10,FWP,,False,False,,2026-03-10,False,False,0,0.0,9,Amazon_2026-03-10_FWP_0001104659-26-025948.htm
Amazon,2026-03-11,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2026-03-11_424B5_0001104659-26-026082.htm
Amazon,2026-03-11,FWP,,False,False,,2026-03-11,False,False,0,0.0,7,Amazon_2026-03-11_FWP_0001104659-26-026393.htm
Amazon,2026-03-12,424B5,USD,True,False,,,False,False,11,37.0,9,Amazon_2026-03-12_424B5_0001104659-26-027125.htm
Amazon,2026-03-13,424B5,EUR,True,False,,,False,False,8,14.5,7,Amazon_2026-03-13_424B5_0001104659-26-027669.htm
Amazon,2026-06-08,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2026-06-08_424B5_0001104659-26-071190.htm
Amazon,2026-06-08,FWP,,False,False,,2026-06-08,False,False,0,0.0,5,Amazon_2026-06-08_FWP_0001104659-26-071456.htm
Amazon,2026-06-10,424B5,USD,True,False,,,False,False,5,14.0,5,Amazon_2026-06-10_424B5_0001104659-26-072332.htm
Amazon,2026-07-07,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2026-07-07_424B5_0001104659-26-080950.htm
Amazon,2026-07-07,FWP,,False,False,,2026-07-07,False,False,0,0.0,7,Amazon_2026-07-07_FWP_0001104659-26-081334.htm
Amazon,2026-07-08,424B5,USD,True,False,,,False,False,8,25.0,7,Amazon_2026-07-08_424B5_0001104659-26-081786.htm
Amazon,2026-08-18,424B3,,False,False,,,False,False,0,0.0,0,Amazon_2026-08-18_424B3_0001104659-26-098339.htm
Amazon,2026-09-09,424B5,,False,True,,,False,False,0,0.0,0,Amazon_2026-09-09_424B5_0001104659-26-106115.htm
Amazon,2026-09-09,FWP,,False,False,,2026-09-09,False,False,0,0.0,4,Amazon_2026-09-09_FWP_0001104659-26-106322.htm
Amazon,2026-09-11,424B5,GBP,True,False,,,False,False,4,4.25,4,Amazon_2026-09-11_424B5_0001104659-26-107122.htm
Meta,2024-08-07,424B2,,False,True,,,False,False,0,0.0,0,Meta_2024-08-07_424B2_0001193125-24-195428.htm
Meta,2024-08-07,FWP,,False,False,,2024-08-07,False,False,5,10.5,0,Meta_2024-08-07_FWP_0001193125-24-196020.htm
Meta,2024-08-08,424B2,,False,False,,,False,False,5,10.5,0,Meta_2024-08-08_424B2_0001193125-24-197096.htm
Meta,2025-10-30,424B2,,False,True,,,False,False,0,0.0,0,Meta_2025-10-30_424B2_0001193125-25-257437.htm
Meta,2025-10-30,FWP,,False,False,,2025-10-30,False,False,6,30.0,0,Meta_2025-10-30_FWP_0001193125-25-258837.htm
Meta,2025-11-03,424B2,,False,False,,,False,False,6,30.0,0,Meta_2025-11-03_424B2_0001193125-25-261217.htm
Meta,2026-04-30,424B2,,False,True,,,False,False,0,0.0,0,Meta_2026-04-30_424B2_0001193125-26-194082.htm
Meta,2026-04-30,FWP,,False,False,,2026-04-30,False,False,6,25.0,0,Meta_2026-04-30_FWP_0001193125-26-197902.htm
Meta,2026-05-01,424B2,,False,False,,,False,False,6,25.0,0,Meta_2026-05-01_424B2_0001193125-26-201738.htm
Microsoft,2024-05-06,424B3,USD,True,False,,,True,True,10,6.8,4,Microsoft_2024-05-06_424B3_0001193125-24-131951.htm
Oracle,2024-09-25,424B2,,False,True,2024-09-25,,False,False,0,0.0,0,Oracle_2024-09-25_424B2_0001193125-24-225244.htm
