issuer,announce,final_filing,tenor,coupon,floating,notional,mod_dur,dollar_dur,tenyr_equiv
Oracle,2026-02-02,2026-02-03,40,6.85,False,2750000000.0,13.61165397554776,37432048432.75634,4689642053.831718
Oracle,2026-02-02,2026-02-03,3,,True,500000000.0,0.25,125000000.0,15660517.691999553
Alphabet,2026-02-09,2026-02-11,3,3.7,False,2500000000.0,2.8149483814777247,7037370953.694312,881670978.6039484
Alphabet,2026-02-09,2026-02-11,5,4.1,False,3000000000.0,4.479565725944397,13438697177.83319,1683655639.2870493
Alphabet,2026-02-09,2026-02-11,7,4.4,False,3000000000.0,5.968786672338196,17906360017.014587,2243382942.766163
Alphabet,2026-02-09,2026-02-11,10,4.8,False,4250000000.0,7.8687181711226195,33442052227.271133,4189758804.495621
Alphabet,2026-02-09,2026-02-11,20,5.5,False,1500000000.0,12.039050530023955,18058575795.03593,2262453165.8438005
Alphabet,2026-02-09,2026-02-11,30,5.65,False,4000000000.0,14.372301497112781,57489205988.451126,7202485819.849164
Alphabet,2026-02-09,2026-02-11,40,5.75,False,1750000000.0,15.590177509279115,27282810641.238453,3418103509.8767076
Amazon,2026-03-10,2026-03-12,2,3.85,False,2250000000.0,1.907334528575503,4291502689.294882,537657230.3277292
Amazon,2026-03-10,2026-03-12,3,4.0,False,3000000000.0,2.8007154453451983,8402146336.035595,1052655690.7700373
Amazon,2026-03-10,2026-03-12,5,4.25,False,5000000000.0,4.462060184122877,22310300920.614384,2795126898.248924
Amazon,2026-03-10,2026-03-12,7,4.55,False,4000000000.0,5.9376007459921265,23750402983.968506,2975548848.980462
Amazon,2026-03-10,2026-03-12,10,4.875,False,6000000000.0,7.840797245143488,47044783470.86093,5893965310.893646
Amazon,2026-03-10,2026-03-12,20,5.65,False,2500000000.0,11.891433092239815,29728582730.599537,3724519966.4850116
Amazon,2026-03-10,2026-03-12,30,5.8,False,5500000000.0,14.139324117312187,77766282645.21703,9742881961.651672
Amazon,2026-03-10,2026-03-12,40,5.95,False,3000000000.0,15.196303324925275,45588909974.775826,5711567449.751614
Amazon,2026-03-10,2026-03-12,50,6.05,False,3000000000.0,15.689499834456466,47068499503.3694,5896936553.6671095
Amazon,2026-03-10,2026-03-12,2,,True,1750000000.0,0.25,437500000.0,54811811.921998434
Amazon,2026-03-10,2026-03-12,3,,True,1000000000.0,0.25,250000000.0,31321035.383999106
Meta,2026-04-30,2026-05-01,5,4.55,False,3000000000.0,4.427351119264493,13282053357.79348,1664030652.766455
Meta,2026-04-30,2026-05-01,7,4.875,False,2000000000.0,5.870841259195726,11741682518.39145,1471046614.5048895
Meta,2026-04-30,2026-05-01,10,5.25,False,6000000000.0,7.70332972763397,46219978365.80382,5790630311.372058
Meta,2026-04-30,2026-05-01,20,6.2,False,4000000000.0,11.372814838663666,45491259354.65466,5699333375.6392765
Meta,2026-04-30,2026-05-01,30,6.3,False,6000000000.0,13.404104433278853,80424626599.67311,10075930301.893108
Meta,2026-04-30,2026-05-01,40,6.45,False,4000000000.0,14.280249221830797,57120996887.32319,7156355058.70861
Alphabet,2026-05-05,2026-05-07,5,3.65,False,1500000000.0,4.532695029069067,6799042543.6036,851812208.3420945
Alphabet,2026-05-05,2026-05-07,7,4.0,False,2000000000.0,6.053124385292763,12106248770.585527,1516720984.44402
Alphabet,2026-05-05,2026-05-07,10,4.35,False,2250000000.0,8.03931045697134,18088448528.185513,2266195745.5717797
Alphabet,2026-05-05,2026-05-07,30,5.0,False,2750000000.0,15.454328242528792,42499402666.95418,5324501178.921991
Amazon,2026-06-08,2026-06-10,3,3.4,False,1250000000.0,2.8292926859602665,3536615857.450333,443081881.6432569
Amazon,2026-06-08,2026-06-10,5,3.7,False,2500000000.0,4.52674599396511,11316864984.912775,1417823714.5135741
Amazon,2026-06-08,2026-06-10,7,4.0,False,2000000000.0,6.053124385292763,12106248770.585527,1516720984.44402
Amazon,2026-06-08,2026-06-10,10,4.35,False,3500000000.0,8.03931045697134,28137586599.39969,3525193382.000547
Amazon,2026-06-08,2026-06-10,30,5.0,False,4750000000.0,15.454328242528792,73408059152.01176,9196865672.68344
Amazon,2026-07-07,2026-07-08,3,4.6,False,3500000000.0,2.772579308677747,9704027580.372114,1215760764.848553
Amazon,2026-07-07,2026-07-08,5,4.8,False,4250000000.0,4.398731141228921,18694607350.22291,2342137833.2252064
Amazon,2026-07-07,2026-07-08,7,5.1,False,3000000000.0,5.825263262585417,17475789787.756252,2189439321.222575
Amazon,2026-07-07,2026-07-08,10,5.3,False,4500000000.0,7.685266187810317,34583697845.14642,4332788895.669459
Amazon,2026-07-07,2026-07-08,20,6.0,False,2750000000.0,11.557385987103219,31782811464.53385,3981882249.934549
Amazon,2026-07-07,2026-07-08,30,6.1,False,4000000000.0,13.690788945310617,54763155781.24247,6860954959.855002
Amazon,2026-07-07,2026-07-08,40,6.25,False,2250000000.0,14.635407254876203,32929666323.471455,4125564976.4029326
Amazon,2026-07-07,2026-07-08,3,,True,750000000.0,0.25,187500000.0,23490776.53799933
Alphabet,2026-08-06,2026-08-07,2,4.5,False,1250000000.0,1.8923701055140445,2365462631.8925557,296354955.17213756
Alphabet,2026-08-06,2026-08-07,3,4.625,False,2000000000.0,2.7714164143130917,5542832828.6261835,694429052.6119702
Alphabet,2026-08-06,2026-08-07,5,4.875,False,3500000000.0,4.390198554089852,15365694939.314482,1925077899.5760195
Alphabet,2026-08-06,2026-08-07,7,5.2,False,2500000000.0,5.805172267814774,14512930669.536934,1818240060.1043687
Alphabet,2026-08-06,2026-08-07,10,5.45,False,4500000000.0,7.631444492486426,34341500216.188915,4302445373.643464
Alphabet,2026-08-06,2026-08-07,20,6.25,False,3000000000.0,11.327368629778215,33982105889.334644,4257418963.9306192
Alphabet,2026-08-06,2026-08-07,30,6.375,False,4500000000.0,13.299043900019798,59845697550.089096,7497716842.185797
Alphabet,2026-08-06,2026-08-07,40,6.5,False,2500000000.0,14.193697500675517,35484243751.6888,4445613016.484376
Alphabet,2026-08-06,2026-08-07,2,,True,750000000.0,0.25,187500000.0,23490776.53799933
Alphabet,2026-08-06,2026-08-07,3,,True,500000000.0,0.25,125000000.0,15660517.691999553
