operation_date,operation_start_time_est,operation_close_time_est,settlement_date,preliminary_ann_pdf,preliminary_ann_xml,final_ann_pdf,final_ann_xml,results_pdf,results_xml,special_ann_pdf,operation_type,security_type,maturity_bucket,nbr_issues_accepted,total_par_amt_offered,par_amt_per_offer,max_par_amt_redeemed,max_nbr_offers,nbr_issues_eligible,total_par_amt_accepted,par,mx,tenor,fill,exp_fill,dur,surprise_par,ten10_surprise,ten10_expected,is_long
2026-01-16,10:40 AM,11:00 AM,2026-01-20,BBPA_20260115184000.pdf,BBPA_20260115184000.xml,BBA_20260116154000.pdf,BBA_20260116154000.xml,BBR_20260116154000.pdf,BBR_20260116154000.xml,BBSPL_20260116154000.pdf,Liquidity Support,Nominal Coupons,7Y to 10Y,2,5938000000.00,1000000.00,4000000000,9,10,210000000.00,210000000.0,4000000000.0,8.5,0.0525,0.0805,6.998841714886204,-112000000.0,-0.09820651411153399,0.2823437280706602,True
2026-01-21,01:40 PM,02:00 PM,2026-01-22,BBPA_20260121184000.pdf,BBPA_20260121184000.xml,BBA_20260121184000.pdf,BBA_20260121184000.xml,BBR_20260121184000.pdf,BBR_20260121184000.xml,null,Liquidity Support,Nominal Coupons,2Y to 3Y,14,8747000000.00,1000000.00,4000000000,9,34,2786000000.00,2786000000.0,4000000000.0,2.5,0.6965,0.5702499999999999,2.3397262645614125,505000000.0000005,0.14803095122482424,0.6686308905818291,False
2026-01-22,01:40 PM,02:00 PM,2026-01-23,BBPA_20260122184000.pdf,BBPA_20260122184000.xml,BBA_20260122184000.pdf,BBA_20260122184000.xml,BBR_20260122184000.pdf,BBR_20260122184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,22891000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2026-02-04,01:40 PM,02:00 PM,2026-02-05,BBPA_20260204184000.pdf,BBPA_20260204184000.xml,BBA_20260204184000.pdf,BBA_20260204184000.xml,BBR_20260204184000.pdf,BBR_20260204184000.xml,null,Liquidity Support,Nominal Coupons,1Mo to 2Y,11,69000000000.00,1000000.00,4000000000,9,74,4000000000.00,4000000000.0,4000000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,0.4847167126099012,False
2026-02-05,01:40 PM,02:00 PM,2026-02-06,BBPA_20260205184000.pdf,BBPA_20260205184000.xml,BBA_20260205184000.pdf,BBA_20260205184000.xml,BBR_20260205184000.pdf,BBR_20260205184000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,6,25535000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
2026-02-10,01:40 PM,02:00 PM,2026-02-11,BBPA_20260210184000.pdf,BBPA_20260210184000.xml,BBA_20260210184000.pdf,BBA_20260210184000.xml,BBR_20260210184000.pdf,BBR_20260210184000.xml,null,Liquidity Support,Nominal Coupons,10Y to 20Y,2,20854000000.00,1000000.00,2000000000,9,34,2000000000.00,2000000000.0,2000000000.0,15.0,1.0,1.0,10.822664923884947,0.0,0.0,2.711816568241331,True
2026-02-19,01:40 PM,02:00 PM,2026-02-20,BBPA_20260219184000.pdf,BBPA_20260219184000.xml,BBA_20260219184000.pdf,BBA_20260219184000.xml,BBR_20260219184000.pdf,BBR_20260219184000.xml,null,Liquidity Support,Nominal Coupons,5Y to 7Y,13,6807000000.00,1000000.00,4000000000,9,25,1560000000.00,1560000000.0,4000000000.0,6.0,0.39,0.4974813620793875,5.2073894100913245,-429925448.31754994,-0.28048478634684293,1.2982339528904543,False
2026-02-24,01:40 PM,02:00 PM,2026-02-25,BBPA_20260224184000.pdf,BBPA_20260224184000.xml,BBA_20260224184000.pdf,BBA_20260224184000.xml,BBR_20260224184000.pdf,BBR_20260224184000.xml,null,Liquidity Support,Nominal Coupons,20Y to 30Y,2,24964000000.00,1000000.00,2000000000,9,35,2000000000.00,2000000000.0,2000000000.0,25.0,1.0,1.0,14.917198135638563,0.0,0.0,3.737776725091688,True
2026-03-02,01:40 PM,02:00 PM,2026-03-03,BBPA_20260302184000.pdf,BBPA_20260302184000.xml,BBA_20260302184000.pdf,BBA_20260302184000.xml,BBR_20260302184000.pdf,BBR_20260302184000.xml,BBSPL_20260302184000.pdf,Liquidity Support,Nominal Coupons,1Mo to 2Y,16,86000000.00,1000000.00,30000000,3,76,30000000.00,30000000.0,30000000.0,1.0,1.0,1.0,0.9672347726280928,0.0,0.0,0.0036353753445742586,False
2026-03-04,01:40 PM,02:00 PM,2026-03-05,BBPA_20260304184000.pdf,BBPA_20260304184000.xml,BBA_20260304184000.pdf,BBA_20260304184000.xml,BBR_20260304184000.pdf,BBR_20260304184000.xml,null,Liquidity Support,Nominal Coupons,3Y to 5Y,12,10405000000.00,1000000.00,4000000000,9,48,2463000000.00,2463000000.0,4000000000.0,4.0,0.61575,0.96425,3.623592303297143,-1394000000.0,-0.632846239487067,1.7509956568878173,False
