date,b0,b1,b2,b3
2024-02-28,2.743211625715048,2.8457452201737796,0.9739046710329793,5.2780877221421925
2024-02-29,2.8148126028643814,2.7931737759996875,0.8582846270384866,4.984766735762117
2024-03-01,2.732926119013766,2.892810755408756,0.6185137981928321,5.1220410750180685
2024-03-04,2.585980928966307,3.0400175157256166,1.0455584212738889,5.627321883685242
2024-03-05,2.4957563628271635,3.131010909134526,1.0021058091756678,5.620045729934923
2024-03-06,2.4278018013683242,3.1919559639568917,1.1388905261747433,5.719498059044039
2024-03-07,2.3162488727774244,3.3192251794679017,1.1005685617289889,6.089346810544071
2024-03-08,2.2629287604138573,3.374946476565353,1.0856981292458794,6.302943826559336
2024-03-11,2.232957216696226,3.4003807690624233,1.2226537155622583,6.385672711262375
2024-03-12,2.3351787219018867,3.2971326483188688,1.2859276680137046,6.227125700237065
2024-03-13,2.4264758611205433,3.1996952270643853,1.2556851553605537,6.04677508341909
2024-03-14,2.6576159966136963,2.958419028822056,1.1585697511196686,5.613912993876268
2024-03-15,2.8099902783657766,2.796904481327024,1.1108213720440545,5.120083655138397
2024-03-18,2.8593423556822297,2.749673880928288,1.0728105391045089,5.053506365732674
2024-03-19,2.699503689388007,2.9182590083577304,1.1471409632153071,5.482006229179119
2024-03-20,2.628113809455941,2.991115709366591,0.9844430339722435,5.740352994951023
2024-03-21,2.651255411310997,2.971733140777857,1.000648826277281,5.640545828945226
2024-03-22,2.5507171646234372,3.0678636583813046,1.017075823868454,5.7837761648107735
2024-03-25,2.6428061178134055,2.9895919162095237,0.8646012675064455,5.625144457099615
2024-03-26,2.570677381227984,3.0493616731282405,1.0026765137070646,5.777206747295379
2024-03-27,2.4498666340404553,3.1652853896076927,1.121733892077611,6.016698478755255
2024-03-28,2.437278381899616,3.1622750119607677,1.3387518348401686,5.99021310048474
2024-04-01,2.689145144247214,2.8739028598450265,1.3134028263029172,5.611150638297267
2024-04-02,2.813627517256352,2.7484937341313853,1.0929187481818818,5.360784210647614
2024-04-03,2.7974124742641466,2.758504588076592,1.0477493174046821,5.427668161989737
2024-04-04,2.729198263733645,2.8238666419366805,1.0634944508360076,5.502127017414846
2024-04-05,2.8091980162927523,2.7361799515908296,1.1807023919509292,5.480632627205192
2024-04-08,2.99334471985128,2.5498792483872212,1.113008730587687,4.903363754561355
2024-04-09,2.906320608275383,2.6489319426574154,1.0492451102615816,5.026406886539347
2024-04-10,3.25062304927108,2.270059082257527,1.3592335617391988,4.365250405114264
2024-04-11,3.3598273156213163,2.163657489135997,1.1386353039688133,4.07639073081505
2024-04-12,3.188202544369086,2.3419986241095327,1.1657356787562227,4.492711284254262
2024-04-15,3.4531924262990263,2.084313087610571,0.9391908326139942,4.092925238621936
2024-04-16,3.5323254410354896,1.9971505803253191,0.9667464734376552,3.933774064742829
2024-04-17,3.3287167078468536,2.2028052311278787,1.1087150526440581,4.349791529626669
2024-04-18,3.500802171383752,2.027676536147732,1.0416095724520846,3.916473799651913
2024-04-19,3.459092137474127,2.067378327499978,1.063212364532842,3.9822384070395573
2024-04-22,3.4532307935378057,2.060329615723068,1.0771295327201755,4.015587102552378
